+------+-------------+-----------------------+-------------+-------------+
| Rank |  Drug Name  |      Target Name      | Interaction | Probability |
+------+-------------+-----------------------+-------------+-------------+
|  1   |  1549000.0  | SARS-CoV 3CL Protease |      NO     |     0.04    |
|  2   |    3658.0   | SARS-CoV 3CL Protease |      NO     |     0.04    |
|  3   |    4850.0   | SARS-CoV 3CL Protease |      NO     |     0.04    |
|  4   |    3627.0   | SARS-CoV 3CL Protease |      NO     |     0.03    |
|  5   |    4615.0   | SARS-CoV 3CL Protease |      NO     |     0.02    |
|  6   |   127902.0  | SARS-CoV 3CL Protease |      NO     |     0.02    |
|  7   |   480953.0  | SARS-CoV 3CL Protease |      NO     |     0.02    |
|  8   |   60714.0   | SARS-CoV 3CL Protease |      NO     |     0.01    |
|  9   |     UNK     | SARS-CoV 3CL Protease |      NO     |     0.01    |
|  10  |    2678.0   | SARS-CoV 3CL Protease |      NO     |     0.01    |
|  11  |  24963293.0 | SARS-CoV 3CL Protease |      NO     |     0.01    |
|  12  |   456201.0  | SARS-CoV 3CL Protease |      NO     |     0.01    |
|  13  |  52953431.0 | SARS-CoV 3CL Protease |      NO     |     0.01    |
|  14  |  25127713.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  15  |   125564.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  16  |  25021165.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  17  |  6914657.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  18  |    3103.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  19  |  9806229.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  20  |    2353.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  21  |   188942.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  22  |  24885053.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  23  |    3169.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  24  |  9953769.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  25  |  9891980.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  26  |    4842.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  27  |    5469.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  28  |  5025739.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  29  |   17676.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  30  |  3654103.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  31  |  11214940.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  32  |  51371303.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  33  |   10302.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  34  |    4450.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  35  |  53315868.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  36  |   134117.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  37  |   34781.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  38  |  1103147.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  39  |  25074316.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  40  |   440005.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  41  |  44139710.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  42  |   43815.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  43  |  11691484.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  44  |  44607531.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  45  |   115193.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  46  |   19009.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  47  |  3086618.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  48  |  9553856.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  49  |  3001662.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  50  |    4893.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  51  |  10047612.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  52  |   660984.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  53  |    5959.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  54  |  6434395.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  55  |   198747.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  56  |     UNK     | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  57  |    4168.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  58  |  44607360.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  59  |  25118925.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  60  |   51712.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  61  |    2475.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  62  |    3538.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  63  |   656580.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  64  |   131747.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  65  |   38103.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  66  |   71153.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  67  |  12598150.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  68  |  10296561.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  69  |     UNK     | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  70  |   39042.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  71  |  16118392.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  72  |    1734.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  73  |   68763.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  74  |  14515706.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  75  |   72307.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  76  |   20525.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  77  |    5160.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  78  |   10831.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  79  |    5625.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  80  |  11784736.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  81  |   65435.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  82  |  6710679.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  83  |    896.0    | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  84  |  11617559.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  85  |    5578.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  86  |  11364421.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  87  |  73777259.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  88  |    5190.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  89  |    2710.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  90  |   82148.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  91  |   441194.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  92  |  4377504.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  93  |    4832.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  94  |   476861.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  95  |  8582409.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  96  |  6419844.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  97  |    2713.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  98  |    8421.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
|  99  |  16126898.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 100  |    5191.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 101  |    5541.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 102  |  1547484.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 103  |  17756796.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 104  |  6708482.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 105  |  22152353.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 106  |   123618.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 107  |    4057.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 108  |  10861069.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 109  |    6726.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 110  |  10446295.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 111  |     UNK     | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 112  |   65859.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 113  |  6505803.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 114  |  11213558.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 115  |  73058507.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 116  |  10296883.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 117  |  16038374.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 118  |  16007391.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 119  |    4622.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 120  |  54758501.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 121  |  70702008.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 122  |   108046.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 123  |  5282230.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 124  |   31508.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 125  |   550758.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 126  |  10000456.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 127  |  5702051.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 128  |    1218.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 129  |    5537.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 130  |  9818682.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 131  |   134669.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
