+------+-------------+--------------+-------------+-------------+
| Rank |  Drug Name  | Target Name  | Interaction | Probability |
+------+-------------+--------------+-------------+-------------+
|  1   |  9933475.0  | Protein 2454 |     YES     |     1.00    |
|  2   |    5966.0   | Protein 1845 |     YES     |     0.99    |
|  3   |    5944.0   | Protein 3748 |     YES     |     0.99    |
|  4   |    4753.0   | Protein 3461 |     YES     |     0.99    |
|  5   |  5478883.0  | Protein 990  |     YES     |     0.99    |
|  6   |  5281613.0  | Protein 2261 |     YES     |     0.98    |
|  7   |  25073775.0 | Protein 2677 |     YES     |     0.98    |
|  8   |    5572.0   | Protein 4865 |     YES     |     0.98    |
|  9   |  9828911.0  | Protein 5726 |     YES     |     0.98    |
|  10  |   35375.0   | Protein 2816 |     YES     |     0.97    |
|  11  |   21700.0   | Protein 2937 |     YES     |     0.96    |
|  12  |  59226838.0 | Protein 2514 |     YES     |     0.96    |
|  13  |   60910.0   | Protein 4479 |     YES     |     0.95    |
|  14  |  71299339.0 | Protein 5097 |     YES     |     0.95    |
|  15  |    3440.0   | Protein 4250 |     YES     |     0.94    |
|  16  |   67361.0   |  Protein 52  |     YES     |     0.94    |
|  17  |  4787937.0  | Protein 5602 |     YES     |     0.93    |
|  18  |  11249932.0 | Protein 2797 |     YES     |     0.92    |
|  19  |    2942.0   | Protein 3246 |     YES     |     0.91    |
|  20  |   439318.0  | Protein 155  |     YES     |     0.91    |
|  21  |    6032.0   | Protein 192  |     YES     |     0.91    |
|  22  |   72172.0   | Protein 4138 |     YES     |     0.91    |
|  23  |   119368.0  | Protein 595  |     YES     |     0.88    |
|  24  |  71599640.0 | Protein 1750 |     YES     |     0.88    |
|  25  |  5311454.0  | Protein 3522 |     YES     |     0.87    |
|  26  |    4440.0   | Protein 6038 |     YES     |     0.87    |
|  27  |  49846579.0 | Protein 1364 |     YES     |     0.87    |
|  28  |   443278.0  | Protein 4232 |     YES     |     0.86    |
|  29  |    4908.0   | Protein 1704 |     YES     |     0.86    |
|  30  |   21800.0   | Protein 2742 |     YES     |     0.86    |
|  31  |   121877.0  | Protein 5184 |     YES     |     0.85    |
|  32  |  9910393.0  | Protein 4954 |     YES     |     0.85    |
|  33  |     UNK     | Protein 1271 |     YES     |     0.83    |
|  34  |   170344.0  | Protein 4915 |     YES     |     0.83    |
|  35  |  6918651.0  | Protein 1607 |     YES     |     0.82    |
|  36  |  1474853.0  | Protein 4885 |     YES     |     0.82    |
|  37  |   445063.0  | Protein 2977 |     YES     |     0.79    |
|  38  |   127902.0  | Protein 1026 |     YES     |     0.79    |
|  39  |  5284550.0  | Protein 682  |     YES     |     0.78    |
|  40  |  6509979.0  | Protein 735  |     YES     |     0.77    |
|  41  |  5311203.0  | Protein 3125 |     YES     |     0.77    |
|  42  |   27924.0   | Protein 2341 |     YES     |     0.76    |
|  43  |   20787.0   | Protein 5328 |     YES     |     0.75    |
|  44  |   67406.0   | Protein 4789 |     YES     |     0.74    |
|  45  |    2467.0   | Protein 5219 |     YES     |     0.74    |
|  46  |   39214.0   | Protein 506  |     YES     |     0.74    |
|  47  |   221493.0  | Protein 5191 |     YES     |     0.72    |
|  48  |   10745.0   | Protein 3901 |     YES     |     0.71    |
|  49  |   64143.0   | Protein 2230 |     YES     |     0.70    |
|  50  |   64715.0   | Protein 5193 |     YES     |     0.69    |
|  51  |   10364.0   | Protein 5243 |     YES     |     0.69    |
|  52  |    6269.0   | Protein 6071 |     YES     |     0.69    |
|  53  |  69724031.0 | Protein 874  |     YES     |     0.68    |
|  54  |   13711.0   | Protein 445  |     YES     |     0.68    |
|  55  |  44607531.0 | Protein 1166 |     YES     |     0.68    |
|  56  |  10335364.0 | Protein 4851 |     YES     |     0.68    |
|  57  |    4595.0   | Protein 4223 |     YES     |     0.66    |
|  58  |    3456.0   | Protein 1060 |     YES     |     0.66    |
|  59  |    1238.0   | Protein 1587 |     YES     |     0.66    |
|  60  | 129010056.0 | Protein 2923 |     YES     |     0.66    |
|  61  |  6710691.0  | Protein 1102 |     YES     |     0.65    |
|  62  |  24780598.0 | Protein 1573 |     YES     |     0.65    |
|  63  |  6604009.0  | Protein 2709 |     YES     |     0.65    |
|  64  |  3938007.0  | Protein 3747 |     YES     |     0.64    |
|  65  |  5328768.0  | Protein 5124 |     YES     |     0.64    |
|  66  |  9964521.0  | Protein 4891 |     YES     |     0.64    |
|  67  |   27661.0   | Protein 760  |     YES     |     0.63    |
|  68  |    3415.0   | Protein 4674 |     YES     |     0.63    |
|  69  |    4171.0   | Protein 5187 |     YES     |     0.63    |
|  70  |  10173280.0 | Protein 3397 |     YES     |     0.62    |
|  71  |  1096292.0  | Protein 1289 |     YES     |     0.61    |
|  72  |  10252734.0 | Protein 1985 |     YES     |     0.60    |
|  73  |  9862166.0  | Protein 1473 |     YES     |     0.58    |
|  74  |   65064.0   | Protein 4807 |     YES     |     0.58    |
|  75  |   213046.0  | Protein 509  |     YES     |     0.57    |
|  76  |    5625.0   | Protein 3227 |     YES     |     0.56    |
|  77  | 135398745.0 | Protein 5008 |     YES     |     0.55    |
|  78  |    3282.0   | Protein 4403 |     YES     |     0.55    |
|  79  |    4909.0   | Protein 4218 |     YES     |     0.54    |
|  80  |     UNK     | Protein 5381 |     YES     |     0.54    |
|  81  |   153241.0  | Protein 4266 |     YES     |     0.54    |
|  82  |  45100448.0 | Protein 705  |     YES     |     0.53    |
|  83  |    4060.0   | Protein 2539 |     YES     |     0.53    |
|  84  | 129009901.0 | Protein 3162 |     YES     |     0.53    |
|  85  |  66553218.0 | Protein 1369 |     YES     |     0.53    |
|  86  |  1048267.0  | Protein 4069 |     YES     |     0.53    |
|  87  |   65028.0   | Protein 2243 |     YES     |     0.52    |
|  88  |  25109291.0 | Protein 354  |     YES     |     0.52    |
|  89  |  3386873.0  | Protein 6089 |     YES     |     0.51    |
|  90  | 129010105.0 | Protein 3035 |      NO     |     0.49    |
|  91  |  11494412.0 | Protein 3540 |      NO     |     0.47    |
|  92  |    4828.0   | Protein 5520 |      NO     |     0.47    |
|  93  |  25229526.0 | Protein 4704 |      NO     |     0.46    |
|  94  |  54680692.0 | Protein 4186 |      NO     |     0.46    |
|  95  |  44129647.0 | Protein 1008 |      NO     |     0.45    |
|  96  |  5283731.0  | Protein 4498 |      NO     |     0.45    |
|  97  |   10468.0   | Protein 2111 |      NO     |     0.44    |
|  98  |  6433109.0  | Protein 2256 |      NO     |     0.44    |
|  99  |  5281404.0  | Protein 4036 |      NO     |     0.44    |
| 100  |  5281792.0  | Protein 5780 |      NO     |     0.43    |
| 101  |  46239015.0 | Protein 1220 |      NO     |     0.42    |
| 102  |    3784.0   | Protein 4095 |      NO     |     0.42    |
| 103  |   369976.0  | Protein 2159 |      NO     |     0.42    |
| 104  | 137247591.0 | Protein 225  |      NO     |     0.41    |
| 105  |   657181.0  | Protein 1707 |      NO     |     0.41    |
| 106  |  1549133.0  | Protein 5586 |      NO     |     0.41    |
| 107  |    3026.0   | Protein 4180 |      NO     |     0.41    |
| 108  |  57339144.0 | Protein 3656 |      NO     |     0.41    |
| 109  |  6445540.0  | Protein 426  |      NO     |     0.41    |
| 110  |    2346.0   | Protein 5974 |      NO     |     0.41    |
| 111  |  21023902.0 | Protein 4184 |      NO     |     0.41    |
| 112  |  9796290.0  | Protein 4025 |      NO     |     0.40    |
| 113  |    4488.0   | Protein 968  |      NO     |     0.40    |
| 114  |   61361.0   | Protein 3784 |      NO     |     0.40    |
| 115  |    2265.0   | Protein 1265 |      NO     |     0.40    |
| 116  |   104956.0  | Protein 4624 |      NO     |     0.39    |
| 117  |    8593.0   | Protein 2955 |      NO     |     0.38    |
| 118  |    237.0    | Protein 2270 |      NO     |     0.38    |
| 119  |   448222.0  | Protein 793  |      NO     |     0.38    |
| 120  |  73417326.0 | Protein 2326 |      NO     |     0.36    |
| 121  |   77993.0   | Protein 4974 |      NO     |     0.35    |
| 122  |   10767.0   | Protein 4780 |      NO     |     0.35    |
| 123  |  11417954.0 | Protein 3938 |      NO     |     0.35    |
| 124  |   27447.0   | Protein 157  |      NO     |     0.35    |
| 125  |  5281006.0  | Protein 307  |      NO     |     0.35    |
| 126  |   442514.0  | Protein 4295 |      NO     |     0.35    |
| 127  |    703.0    | Protein 2944 |      NO     |     0.34    |
| 128  |    5231.0   | Protein 4559 |      NO     |     0.34    |
| 129  |   84029.0   | Protein 394  |      NO     |     0.34    |
| 130  |  57519544.0 | Protein 3407 |      NO     |     0.34    |
| 131  |    2478.0   | Protein 4248 |      NO     |     0.33    |
| 132  |   216326.0  | Protein 1811 |      NO     |     0.33    |
| 133  |  9810929.0  | Protein 412  |      NO     |     0.33    |
| 134  |  76285486.0 | Protein 6088 |      NO     |     0.33    |
| 135  |  3025944.0  | Protein 3708 |      NO     |     0.32    |
| 136  |   60608.0   | Protein 2958 |      NO     |     0.32    |
| 137  |  5284607.0  | Protein 3532 |      NO     |     0.31    |
